sample_id,country,region,latitude,longitude,altitude,sampling_date,nitrogen_total,phosphorus_avail,potassium_exch,pH_water,organic_carbon,sand_percent,silt_percent,clay_percent,bulk_density,cation_exchange_cap,NDVI_mean,NDVI_std,rainfall_annual,landcover_class,crop_type_reported,yield_reported,fertility_score
ETH_2019_0001,Ethiopia,Oromia,-7.5092,41.31,1548.0,2019-05-06,3.01,69.36,1.025,7.25,26.09,19.1,33.1,47.8,1.238,30.28,0.585,0.034,927,Cropland,Sorghum,2050.0,41.44
ETH_2015_0002,Ethiopia,Tigray,-4.0658,30.588,1625.0,2015-01-16,3.316,76.66,1.165,6.37,29.34,78.5,5.9,15.6,1.364,23.59,,,1088,Cropland,,,44.41
KEN_2018_0003,Kenya,Nyanza,-3.7745,38.7935,1958.0,2018-11-29,1.108,4.38,1.838,6.51,12.11,13.2,41.6,45.1,1.306,,0.417,0.068,724,Cropland,Beans,739.0,34.93
ZIM_2019_0004,Zimbabwe,Manicaland,-0.9396,33.0908,887.0,2019-01-04,1.356,40.58,1.676,7.31,19.36,22.6,29.5,47.9,1.265,35.41,,,601,Grassland,,,37.17
MAL_2017_0005,Malawi,Central,-7.2653,41.1142,832.0,2017-04-21,4.481,49.64,1.239,7.24,37.09,44.5,47.9,7.5,1.447,22.3,0.48,0.071,869,Cropland,Millet,2002.0,43.46
ETH_2020_0006,Ethiopia,SNNPR,-3.6338,29.3114,398.0,2020-11-05,,,1.0,6.22,36.56,48.8,49.1,2.1,1.33,18.45,,,1078,,,,41.91
ZIM_2016_0007,Zimbabwe,Manicaland,-1.0794,35.9809,1627.0,2016-07-12,3.923,70.81,2.406,8.12,41.06,61.8,27.5,10.6,1.383,25.27,,,528,Cropland,,,45.99
MAL_2018_0008,Malawi,Southern,-13.2931,28.7235,1317.0,2018-12-27,3.991,101.74,2.309,4.13,41.09,55.5,35.8,8.8,1.5,25.28,0.679,0.201,396,Cropland,,,50.8
UGA_2016_0009,Uganda,Eastern,-5.5306,30.4248,222.0,2016-04-29,2.167,40.87,1.107,6.29,18.0,66.0,20.8,13.2,1.438,13.82,0.435,0.036,1462,,,,34.73
ZIM_2020_0010,Zimbabwe,Manicaland,-6.7476,33.2083,850.0,2020-03-24,5.756,76.27,2.048,7.73,50.56,42.6,39.0,18.4,1.194,29.0,0.697,0.102,697,Cropland,Tea,1802.0,53.58
ETH_2023_0011,Ethiopia,Amhara,1.4372,37.8874,2691.0,2023-05-06,,104.84,1.548,5.57,31.36,12.4,50.7,37.0,1.271,28.0,0.566,0.063,1072,Cropland,Tea,1654.0,53.11
UGA_2015_0012,Uganda,Eastern,3.0232,28.6362,1846.0,2015-04-28,,98.88,2.559,3.8,55.13,74.0,18.6,7.4,1.196,36.02,0.72,0.044,886,,,,61.14
ZAM_2016_0013,Zambia,Copperbelt,4.9327,35.776,798.0,2016-04-18,5.939,79.04,1.441,7.44,58.61,27.5,17.8,54.6,1.193,48.08,,,646,Forest,,,62.86
MAL_2022_0014,Malawi,Northern,-4.7202,38.9711,2233.0,2022-07-22,3.742,53.14,2.637,6.72,31.17,12.6,47.9,39.5,1.121,32.85,0.554,0.127,610,Cropland,Tea,1869.0,52.4
